%Pressure	Flow_Calibrated	Flow_Filtered	R5	X5	R11	X11	R19	X19	#	Volume
0.3704	0.7143	0.0920	-0.0197	0.0034	-0.0178	0.0014	-0.0131	0.0025	161	0.01753
0.4026	0.8383	0.0900	-0.0197	0.0034	-0.0178	0.0014	-0.0131	0.0025	162	0.02172
0.3382	0.8798	0.0860	-0.0197	0.0034	-0.0271	0.0014	-0.0131	0.0025	163	0.02612
0.1933	0.7533	0.0810	-0.0197	0.0034	-0.0271	0.0014	-0.0131	0.0025	164	0.02988
0.0001	0.4687	0.0740	-0.0197	0.0034	-0.0178	0.0014	-0.0131	0.0025	165	0.03222
-0.2253	0.0207	0.0660	-0.0197	0.0034	-0.0178	0.0120	-0.0131	0.0025	166	0.03232
-0.3863	-0.4239	0.0560	-0.0197	0.0034	-0.0178	0.0014	-0.0131	0.0025	167	0.03020
-0.4668	-0.7292	0.0450	-0.0197	0.0034	-0.0178	0.0014	-0.0131	0.0025	168	0.02656
-0.4668	-0.8602	0.0330	-0.0197	0.0034	-0.0178	0.0014	-0.0131	0.0025	169	0.02225
-0.3702	-0.8312	0.0210	-0.0197	0.0034	-0.0178	0.0014	-0.0131	0.0025	170	0.01809
-0.2253	-0.6767	0.0080	-0.0197	0.0034	-0.0178	0.0014	-0.0131	0.0025	171	0.01471
-0.0643	-0.4192	-0.0030	-0.0197	0.0034	-0.0178	0.0014	-0.0131	0.0025	172	0.01261
0.0645	-0.1210	-0.0150	-0.0197	0.0034	-0.0178	0.0014	-0.0036	0.0025	173	0.01201
0.1289	0.1314	-0.0260	-0.0197	0.0034	-0.0178	0.0014	-0.0131	0.0025	174	0.01266
0.0967	0.2390	-0.0360	-0.0103	0.0034	-0.0178	0.0014	-0.0036	0.0025	175	0.01385
0.0001	0.1779	-0.0430	-0.0197	0.0034	-0.0178	0.0014	-0.0036	0.0025	176	0.01474
-0.1287	-0.0114	-0.0490	-0.0103	0.0034	-0.0178	0.0014	-0.0036	0.0025	177	0.01468
-0.2414	-0.2629	-0.0530	-0.0103	0.0034	-0.0178	0.0120	-0.0036	0.0025	178	0.01337
-0.3058	-0.4430	-0.0550	-0.0103	0.0034	-0.0178	0.0014	-0.0036	0.0025	179	0.01115
-0.2897	-0.5228	-0.0550	-0.0103	0.0034	-0.0178	0.0014	-0.0036	0.0025	180	0.00853
-0.2414	-0.5182	-0.0530	-0.0103	0.0034	-0.0178	0.0014	-0.0036	0.0025	181	0.00594
-0.1609	-0.4192	-0.0490	-0.0103	0.0034	-0.0178	0.0014	-0.0036	0.0025	182	0.00384
-0.0965	-0.3026	-0.0440	-0.0103	0.0034	-0.0178	0.0014	-0.0036	0.0025	183	0.00233
-0.0643	-0.2027	-0.0370	-0.0103	0.0034	-0.0178	0.0014	-0.0036	0.0025	184	0.00131
